timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528346054943,536,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-9,text,true,,605,509,10,10,536,0,137
1528346054954,949,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-4,text,true,,9359,497,10,10,909,0,137
1528346025359,30883,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-5,text,true,,662949,444,10,10,927,0,156
1528346055480,867,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-9,text,true,,10602,452,10,10,770,0,0
1528346056254,955,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-5,text,true,,9359,497,10,10,915,0,143
1528346026408,30882,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-10,text,true,,662949,444,10,10,931,0,160
1528346055904,1754,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-4,text,true,,30007,430,10,10,770,0,0
1528346046503,11435,87 /cache/themes/SuiteR/css/yui.css,200,OK,Thread Group 1-7,text,true,,241468,445,10,10,770,0,0
1528346027286,30901,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-6,text,true,,662949,444,10,10,949,0,176
1528346057662,548,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-4,text,true,,605,509,10,10,548,0,150
1528346057306,965,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-10,text,true,,9359,497,10,10,925,0,154
1528346032320,26032,82 /cache/include/javascript/sugar_grp1_yui.js,200,OK,Thread Group 1-1,text,true,,560449,441,10,10,772,0,0
1528346057213,1754,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-5,text,true,,30007,430,10,10,769,0,0
1528346058211,867,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-4,text,true,,10602,452,10,10,770,0,0
1528346058200,957,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-6,text,true,,9359,497,10,10,917,0,145
1528346058968,538,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-5,text,true,,605,509,10,10,538,0,139
1528346057944,1859,91 /themes/SuiteR/js/jscolor.js,200,OK,Thread Group 1-7,text,true,,29175,426,10,10,911,0,142
1528346058272,1754,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-10,text,true,,30007,430,10,10,769,0,0
1528346059804,399,90 /themes/SuiteR/css/colourSelector.php,200,OK,Thread Group 1-7,text,true,,213,490,10,10,399,0,0
1528346059507,868,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-5,text,true,,10602,452,10,10,771,0,0
1528346060027,582,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-10,text,true,,605,509,10,10,582,0,184
1528346060204,704,92 /modules/Users/login.css,200,OK,Thread Group 1-7,text,true,,3433,437,10,10,704,0,165
1528346059158,1756,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-6,text,true,,30007,430,10,10,771,0,0
1528346060916,549,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-6,text,true,,605,509,10,10,549,0,151
1528346060610,867,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-10,text,true,,10602,452,10,10,770,0,0
